"scientificName","commonNameFr","commonNameEn","category"
"Agave schidigera","","century plant","Ornamental"
"Agave shawii","","coastal agave","Ornamental"
"Agave victoriae-reginae","","century plant","Ornamental"
"Ageratina altissima","","white snakeroot","Ornamental"
"Ageratum houstonianum","","floss flower","Ornamental"
"Aglaia edulis","","chu-lan tree","Ornamental"
"Aglaia odorata","","chu-lan tree","Ornamental"
"Aglaonema commutatum","","Philippine evergreen","Ornamental"
"Agrostis palustris NO MOW","","creeping bent grass","Ornamental"
"Ailanthus altissima","","tree of Heaven","Ornamental"
"Ajania pacifica","","ajania","Ornamental"
"Ajuga reptans","","common bugle","Ornamental"
"Akebia quinata","","chocolate vine","Ornamental"
"Alangium platanifolium","","alangium","Ornamental"
"Albizia saman","","rain tree","Ornamental"
"Alcea rosea","","hollyhock","Ornamental"
"Alcea rugosa","","hollyhock","Ornamental"
"Alchemilla mollis","","lady's mantle","Ornamental"
"Aleurites fordii","","tung-oil tree","Ornamental"
"Alisma triviale","","northern water plantain","Ornamental"
"Allamanda schottii","","bush allamanda","Ornamental"
"Allium altaicum","","onion","Vegetable"
"Allium cepa","","onion","Vegetable"
"Allium cernuum","","nodding onion","Vegetable"
"Allium cristophii","","star of Persia","Ornamental"
"Allium fistulosum","","scallion","Ornamental"
"Allium karataviense","","ornamental onion","Vegetable"
"Allium kunthianum","","allium","Ornamental"
"Allium lusitanicum","","German garlic","Vegetable"
"Allium moly","","golden garlic","Vegetable"
"Allium schoenoprasum","","chives","Ornamental"
"Allium schubertii","","ornamental onion","Vegetable"
"Allium senescens","","German garlic","Vegetable"
"Allium sphaerocephalon","","round-headed leek","Vegetable"
"Allium stellatum","","prairie onion","Vegetable"
"Allium tuberosum","","garlic chives","Vegetable"
"Allium ursinum","","wild garlic","Vegetable"
"Alluaudia dumosa","","alluaudia","Ornamental"
"Alluaudia humbertii","","alluaudia","Ornamental"
"Alnus cordata","","Italian alder","Ornamental"
"Alnus glutinosa","","European alder","Ornamental"
"Alnus incana","","grey alder","Ornamental"
"Alnus japonica","","Japanese alder","Ornamental"
"Alnus maritima","","seaside alder","Ornamental"
"Alnus mayrii","","alder","Ornamental"
"Alnus serrulata","","hazel alder","Ornamental"
"Alocasia amazonica","","elephant's ear","Ornamental"
"Alocasia (group)","","elephant's ear","Ornamental"
"Alocasia LOW RIDER","","elephant's ear","Ornamental"
"Alocasia macrorrhizos","","giant elephant's ear","Ornamental"
"Aloe aristata","","torch plant","Ornamental"
"Aloe ferox","","Cape aloe","Ornamental"
"Aloe harlana","","aloe","Ornamental"
"Aloe longistyla","","Karoo aloe","Ornamental"
"Aloe munchii","","large Chimanimani aloe","Ornamental"
"Aloe rauhii","","aloe","Ornamental"
"Aloe sabaea","","Yemen tree aloe","Ornamental"
"Aloe striata","","coral aloe","Ornamental"
"Aloe suzannae","","aloe","Ornamental"
"Aloe vera","","aloe","Ornamental"
"Aloysia citriodora","","lemon verbena","Ornamental"
"Aloysia virgata","","sweet almond bush","Ornamental"
"Alpinia galanga","","siamese ginger","Ornamental"
"Alpinia japonica","","ginger lily","Ornamental"
"Alpinia zerumbet","","shellplant","Ornamental"
"Alstroemeria aurea","","lily of the Incas","Ornamental"
"Alstroemeria isabellana","","lily of the Incas","Ornamental"
"Alstroemeria ligtu subsp. incarnata","","inca lily","Ornamental"
"Alternanthera dentata","","Joseph's coat","Ornamental"
"Alternanthera ficoidea","","Joseph's coat","Ornamental"
"Althaea officinalis","","marsh mallow","Ornamental"
"Alyssum murale","","yellowtuft","Ornamental"
"Alyssum propinquum","","alyssum","Ornamental"
"Amaranthus caudatus","","love-lies-bleeding","Ornamental"
"Amaranthus tricolor","","Joseph's coat","Ornamental"
"Amaranthus tricolor (vegetable group)","","Joseph's coat","Ornamental"
"Amelanchier arborea","","serviceberry","Ornamental"
"Amelanchier canadensis","","serviceberry","Ornamental"
"Amelanchier laevis","","Allegheny serviceberry","Ornamental"
"Amelanchier lamarckii","","juneberry","Ornamental"
"Amelanchier nantucketensis","","Nantucket serviceberry","Ornamental"
"Amelanchier obovalis","","coastal serviceberry","Ornamental"
"Amelanchier stolonifera","","running serviceberry","Ornamental"
"Amorpha canescens","","lead plant","Ornamental"
"Amorpha fruticosa","","false indigo","Ornamental"
"Amorpha ouachitensis","","Ouachita Mountain leadplant","Ornamental"
"Amorphophallus konjac","","Devil's tongue","Ornamental"
"Ampelopsis brevipedunculata","","amur peppervine","Ornamental"
"Amsonia ciliata","","blue star","Ornamental"
"Amsonia hubrichtii","","blue star","Ornamental"
"Amsonia illustris","","shining blue star","Ornamental"
"Amsonia tabernaemontana","","blue star","Ornamental"
"Anagallis monelli","","blue pimpernel","Ornamental"
"Ananas comosus","","pineapple","Ornamental"
"Anaphalis margaritacea","","pearly everlasting","Ornamental"
"Anaphalis triplinervis","","pearly everlasting","Ornamental"
"Anchusa azurea","","blue bugloss","Ornamental"
"Andropogon gerardii","","big blue stem","Ornamental"
"Andropogon glomeratus","","bushy bluestem","Ornamental"
"Anemone americana","","Roundleaf Liverleaf","Ornamental"
"Anemone blanda","","windflower","Ornamental"
"Anemone canadensis","","windflower","Ornamental"
"Anemone coronaria","","windflower","Ornamental"
"Anemone cylindrica","","windflower","Ornamental"
"Anemone hupehensis","","Japanese thimbleweed","Ornamental"
"Anemone lesseri","","windflower","Ornamental"
"Anemone narcissiflora","","windflower","Ornamental"
"Anemone nemorosa","","wood anemone","Ornamental"
"Anemone parviflora","","small-flowered anemone","Ornamental"
"Anemone sylvestris","","snowdrop windflower","Ornamental"
"Anemone tomentosa","","windflower","Ornamental"
"Anemone virginiana","","thimbleweed","Ornamental"
"Anethum graveolens","","dill","Herb"
"Angelica archangelica","","garden angelica","Ornamental"
"Angelica atropurpurea","","masterwort","Ornamental"
"Angelonia angustifolia","","angelonia","Ornamental"
"Anigozanthos flavidus","","tall kangaroo paw","Ornamental"
"Annona muricata","","soursop","Ornamental"
"Annona reticulata","","custard apple","Ornamental"
"Anomatheca laxa","","anomatheca","Ornamental"
"Anredera cordifolia","","heartleaf madeiravine","Ornamental"
"Antennaria dioica","","pussytoes","Ornamental"
"Antennaria neglecta","","field pussytoes","Ornamental"
"Antennaria parlinii","","pussy toes","Ornamental"
"Antennaria plantaginifolia","","pussytoes","Ornamental"
"Anthemis tinctoria","","golden chamomile","Ornamental"
"Anthericum liliago","","St. Bernard's lily","Ornamental"
"Anthurium andraeanum","","anthurium","Ornamental"
"Anthurium crassinervium","","anthurium","Ornamental"
"Antigonon leptopus","","coral vine","Ornamental"
"Antirrhinum majus","","snapdragon","Ornamental"
"Aphelandra squarrosa","","zebra plant","Ornamental"
"Apocynum cannabinum","","Indian hemp","Ornamental"
"Aponogeton distachyos","","Cape pondweed","Ornamental"
"Aquilegia caerulea","","columbine","Ornamental"
"Aquilegia canadensis","","columbine","Ornamental"
"Aquilegia flabellata","","fan columbine","Ornamental"
"Aquilegia fragrans","","sweet-scented columbine","Ornamental"
"Aquilegia glandulosa","","columbine","Ornamental"
"Aquilegia (McKana Group)","","columbine","Ornamental"
"Aquilegia olympica","","columbine","Ornamental"
"Aquilegia viridiflora","","columbine","Ornamental"
"Aquilegia vulgaris","","columbine","Ornamental"
